Mozilla Firefox < 115.0.2,Google Chrome < 115.0.5790.98 Multiple Vulnerabilities,Security Updates for Microsoft Office Products C2R,KB5026361: Windows 10 Version 20H2 / Windows 10 Version 21H2 / Windows 10 Version 22H2 Security Update,Microsoft Windows Raw Image Extensions Library Multiple Vulnerabilities,Microsoft 3D Viewer Multiple Vulnerabilities
Mozilla Firefox < 100.0,Google Chrome < 113.0,Security Updates for Microsoft Office Products C2R (July 2022),KB5026361: Windows 10 Version 20H2 / Windows 10 Version 21H2 / Windows 10 Version 22H2 Security Update (May 2023),Microsoft Windows Raw Image Extensions Library Multiple Vulnerabilities (March 2022),Microsoft 3D Viewer Multiple Vulnerabilities (November 2021)
Mozilla Firefox < 107.0,Google Chrome < 114.0,Security Updates for Outlook C2R DoS (August 2022),KB5026361: Windows 10 Version 20H2 / Windows 10 Version 21H2 / Windows 10 Version 22H2 Security Update (August 2023),Microsoft Windows Raw Image Extensions Library Multiple Vulnerabilities (May 2022),Microsoft 3D Viewer Base3D Code Execution (October 2020)
Mozilla Firefox < 108.0,Google Chrome < 115.0.5790.98 Multiple Vulnerabilities,Security Updates for Microsoft Office Products C2R RCE (August 2022),KB5026361: Windows 10 Version 20H2 / Windows 10 Version 21H2 / Windows 10 Version 22H2 Security Update (July 2022),Microsoft Windows Raw Image Extensions Library Multiple Vulnerabilities (August 2023),Microsoft 3D Viewer Multiple Vulnerabilities (June 2021)
Mozilla Firefox < 109.0,,Security Updates for Microsoft Excel Products C2R (August 2022),KB5026361: Windows 10 Version 20H2 / Windows 10 Version 21H2 / Windows 10 Version 22H2 Security Update (July 2023),Microsoft Windows Raw Image Extensions Library Multiple Vulnerabilities (October 2022),
Mozilla Firefox < 110.0,,Security Updates for Microsoft PowerPoint Products (September 2022),,Microsoft Windows Raw Image Extensions Library Multiple Vulnerabilities (April 2023),
Mozilla Firefox < 111.0,,Security Updates for Microsoft Word Products C2R (October 2022),,Microsoft Windows Raw Image Extensions RCE (July 2023),
Mozilla Firefox < 112.0,,Security Updates for Microsoft Office Products C2R (October 2022),,,
Mozilla Firefox < 113.0,,Security Updates for Microsoft Word Products C2R (November 2022),,,
Mozilla Firefox < 114.0,,Security Updates for Microsoft Excel Products C2R (November 2022),,,
Mozilla Firefox < 115.0,,Security Updates for Microsoft Office Products C2R (November 2022),,,
Mozilla Firefox < 115.0.2,,Security Updates for Microsoft Office Products C2R (December 2022),,,
,,Security Updates for Microsoft OneNote C2R (December 2022),,,
,,Security Updates for Microsoft Office Products C2R (January 2023),,,
,,Security Updates for Microsoft Word Products C2R (February 2023),,,
,,Security Updates for Microsoft Office Products C2R (February 2023),,,
,,Security Updates for Microsoft Publisher Products C2R (February 2023),,,
,,Security Updates for Microsoft Excel Products C2R (March 2023),,,
,,Security Updates for Outlook C2R Elevation of Privilege (March 2023),,,
,,Security Updates for Microsoft Office Products C2R (April 2023),,,
,,Security Updates for Microsoft Publisher Products C2R (April 2023),,,
,,Security Updates for Microsoft Word Products C2R (April 2023),,,
,,Security Updates for Microsoft Word Products C2R (May 2023),,,
,,Security Updates for Microsoft Excel Products C2R (May 2023),,,
,,Security Updates for Microsoft Office Products C2R (May 2023),,,
